Signal Legend:

Key        Signal Name

0        = DA_A
1        = AD_B
2        = bitstream_out
3        = fifo_wr
4        = fifo_read_en
5        = bitstream_in
6        = fifo_empty
7        = fifo_full
8        = Demod_0
9        = Demod_1
10       = Valid_RX
11       = DA_B[19..33]
12       = AD_A[17..31]
13       = SW[6]
14       = SW[7]
15       = SW[8]
16       = SW[9]
17       = LEDR[3]
18       = LEDR[4]
19       = LEDR[5]
20       = LEDR[9]
21       = SW[3]
22       = SW[4]
23       = SW[5]
24       = GPIO_0[0]
25       = GPIO_0[16]
26       = GPIO_0[18]
27       = GPIO_1[0]
28       = GPIO_0[2]
29       = GPIO_0[32]
30       = GPIO_0[33]
31       = GPIO_0[34]
32       = GPIO_0[35]
33       = GPIO_1[16]
34       = GPIO_1[17]
35       = GPIO_1[18]
36       = GPIO_1[20]
37       = GPIO_1[2]
38       = GPIO_1[34]
39       = GPIO_1[35]
40       = KEY_N[0]
41       = KEY_N[1]
42       = KEY_N[2]
43       = KEY_N[3]

Data Table:

Signals-> 0     1     2 3 4 5 6 7 8 9 10 11    12    13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 

sample

-16       -4099 -5457 1 1 0 0 0 0 0 0 0  12285 7166  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
-15       -4100 -5770 0 1 1 0 0 0 0 0 0  12284 15358 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
-14       -4099 -6536 0 0 1 0 0 0 0 0 0  12285 12286 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
-13       -3887 -7225 0 0 0 0 0 0 0 0 0  12497 15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
-12       -4099 -7008 1 1 0 0 0 0 0 0 0  12285 7166  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
-11       -4100 -6609 1 1 1 0 0 0 0 0 0  12284 2046  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
-10       -4099 -6675 1 0 1 0 0 0 0 0 0  12285 2046  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
-9        -3464 -6775 1 0 0 0 0 0 0 0 0  12920 15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
-8        -3788 -6805 1 1 0 0 0 0 0 0 0  12596 2046  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
-7        -4948 -6849 1 1 1 0 0 0 0 0 0  11436 6142  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
-6        -5667 -6799 1 0 1 0 0 0 0 0 0  10717 15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
-5        -4312 -6885 1 0 0 0 0 0 0 0 0  12072 7166  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
-4        -2221 -6936 1 1 0 0 0 0 0 0 0  14163 15358 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
-3        -1    -6951 1 1 1 0 0 0 0 0 0  16383 7166  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
-2        2218  -6748 1 0 1 0 0 0 0 0 0  2218  15358 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
-1        4733  -6868 1 0 0 0 0 0 0 0 0  4733  3070  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
0         5664  -7308 1 1 0 0 0 0 0 0 0  5664  15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
1         4946  -7598 0 1 1 0 0 0 0 0 0  4946  15358 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
2         3785  -7249 0 0 1 0 0 0 0 0 0  3785  15358 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
3         3885  -6388 0 0 0 0 0 0 0 0 0  3885  15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
4         4096  -5663 1 1 0 0 0 0 0 0 0  4096  2046  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
5         4098  5922  0 1 1 0 0 0 0 0 0  4098  2046  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
6         4096  6527  0 0 1 0 0 0 0 0 0  4096  14334 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
7         3885  6889  0 0 0 0 0 0 0 0 0  3885  2046  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
8         4096  6689  1 1 0 0 0 0 0 0 0  4096  3070  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
9         4098  6314  0 1 1 0 0 0 0 0 0  4098  7166  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
10        4096  6377  0 0 1 0 0 0 0 0 0  4096  15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
11        3462  6488  0 0 0 0 0 0 0 0 0  3462  2046  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
12        3785  6522  1 1 0 0 0 0 0 0 0  3785  2046  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
13        4946  6581  0 1 1 0 0 0 0 0 0  4946  15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
14        5664  6537  0 0 1 0 0 0 0 0 0  5664  15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
15        4310  6628  0 0 0 0 0 0 0 0 0  4310  15358 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
16        2218  6719  1 1 0 0 0 0 0 0 0  2218  15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
17        -1    6701  0 1 1 0 0 0 0 0 0  16383 11262 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
18        -2221 6510  0 0 1 0 0 0 0 0 0  14163 7166  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
19        -4735 6811  0 0 0 0 0 0 0 0 0  11649 7166  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
20        -5667 7071  1 1 0 0 0 0 0 0 0  10717 15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
21        -4948 7360  1 1 1 0 0 0 0 0 0  11436 15358 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
22        -3788 7115  1 0 1 0 0 0 0 0 0  12596 15358 0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
23        -3887 6178  1 0 0 0 0 0 0 0 0  12497 2046  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
24        -4099 -5315 1 1 0 0 0 0 0 0 0  12285 7166  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
25        -4100 -5797 1 1 1 0 0 0 0 0 0  12284 2046  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  
26        -4099 -6795 1 0 1 0 0 0 0 0 0  12285 15358 0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  1  1  1  1  0  1  1  1  1  1  1  
