# Copyright (C) 1991-2010 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 10.0 Build 262 08/18/2010 Service Pack 1 SJ Full Version
# File: D:/test_1/DE2_70_ADA/DE2_70_ADA.csv
# Generated on: Tue Sep 07 22:51:53 2010

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,I/O Standard,Reserved
oENET_CLK,Unknown,PIN_D27,4,,
iCLK_28,Unknown,PIN_E16,4,,
iCLK_50,Unknown,PIN_AD15,7,,
iCLK_50_2,Unknown,PIN_D16,4,,
iCLK_50_3,Unknown,PIN_R28,5,,
iCLK_50_4,Unknown,PIN_R3,2,,
iAUD_ADCDAT,Unknown,PIN_E19,4,,
AUD_ADCLRCK,Unknown,PIN_F19,4,,
AUD_BCLK,Unknown,PIN_E17,4,,
oAUD_DACDAT,Unknown,PIN_F18,4,,
AUD_DACLRCK,Unknown,PIN_G18,4,,
oAUD_XCK,Unknown,PIN_D17,4,,
DRAM_DQ[0],Unknown,PIN_AC1,1,,
DRAM_DQ[1],Unknown,PIN_AC2,1,,
DRAM_DQ[10],Unknown,PIN_AF2,1,,
DRAM_DQ[11],Unknown,PIN_AF3,1,,
DRAM_DQ[12],Unknown,PIN_AG2,1,,
DRAM_DQ[13],Unknown,PIN_AG3,1,,
DRAM_DQ[14],Unknown,PIN_AH1,1,,
DRAM_DQ[15],Unknown,PIN_AH2,1,,
DRAM_DQ[16],Unknown,PIN_U1,1,,
DRAM_DQ[17],Unknown,PIN_U2,1,,
DRAM_DQ[18],Unknown,PIN_U3,1,,
DRAM_DQ[19],Unknown,PIN_V2,1,,
DRAM_DQ[2],Unknown,PIN_AC3,1,,
DRAM_DQ[20],Unknown,PIN_V3,1,,
DRAM_DQ[21],Unknown,PIN_W1,1,,
DRAM_DQ[22],Unknown,PIN_W2,1,,
DRAM_DQ[23],Unknown,PIN_W3,1,,
DRAM_DQ[24],Unknown,PIN_Y1,1,,
DRAM_DQ[25],Unknown,PIN_Y2,1,,
DRAM_DQ[26],Unknown,PIN_Y3,1,,
DRAM_DQ[27],Unknown,PIN_AA1,1,,
