# Copyright (C) 1991-2010 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.1 Build 350 03/24/2010 Service Pack 2 SJ Full Version
# File: E:\My_design\ADDA_DE4_530_HSMA\DE4_HSMA_DVI.csv
# Generated on: Tue Jul 13 14:05:45 2010

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
BUTTON[3],Input,PIN_AG8,5C,B5C_N0,3.0-V PCI-X,
BUTTON[2],Input,PIN_AG7,5C,B5C_N0,3.0-V PCI-X,
BUTTON[1],Input,PIN_AG5,5C,B5C_N0,3.0-V PCI-X,
BUTTON[0],Input,PIN_AH5,5C,B5C_N0,3.0-V PCI-X,
CPU_RESET_n,Input,PIN_V34,1C,B1C_N0,2.5 V,
EXT_IO,Bidir,PIN_AC11,5C,B5C_N0,3.0-V PCI-X,
GCLKIN,Input,PIN_A21,7C,B7C_N0,1.8 V,
GCLKOUT_FPGA,Output,PIN_AH19,4C,B4C_N0,1.8 V,
HSMA_DVI_EDID_WP,Output,PIN_AG29,2A,B2A_N0,2.5 V,
HSMA_DVI_RX_CLK,Input,PIN_AB34,1C,B1C_N0,2.5 V,
HSMA_DVI_RX_CTL[3],Input,PIN_AE26,2A,B2A_N0,2.5 V,
HSMA_DVI_RX_CTL[2],Input,PIN_AF26,2A,B2A_N0,2.5 V,
HSMA_DVI_RX_CTL[1],Input,PIN_AD28,2C,B2C_N0,2.5 V,
HSMA_DVI_RX_D[23],Input,PIN_AK34,2C,B2C_N0,2.5 V,
HSMA_DVI_RX_D[22],Input,PIN_AK35,2C,B2C_N0,2.5 V,
HSMA_DVI_RX_D[21],Input,PIN_AN30,2A,B2A_N0,2.5 V,
HSMA_DVI_RX_D[20],Input,PIN_AP30,2A,B2A_N0,2.5 V,
HSMA_DVI_RX_D[19],Input,PIN_AM34,2C,B2C_N0,2.5 V,
HSMA_DVI_RX_D[18],Input,PIN_AM35,2C,B2C_N0,2.5 V,
HSMA_DVI_RX_D[17],Input,PIN_AM31,2A,B2A_N0,2.5 V,
HSMA_DVI_RX_D[16],Input,PIN_AN31,2A,B2A_N0,2.5 V,
HSMA_DVI_RX_D[15],Input,PIN_AC32,2C,B2C_N0,2.5 V,
HSMA_DVI_RX_D[14],Input,PIN_AC31,2C,B2C_N0,2.5 V,
HSMA_DVI_RX_D[13],Input,PIN_AJ32,2C,B2C_N0,2.5 V,
HSMA_DVI_RX_D[12],Input,PIN_AK33,2C,B2C_N0,2.5 V,
HSMA_DVI_RX_D[11],Input,PIN_AH34,2C,B2C_N0,2.5 V,
HSMA_DVI_RX_D[10],Input,PIN_AH35,2C,B2C_N0,2.5 V,
HSMA_DVI_RX_D[9],Input,PIN_AJ34,2C,B2C_N0,2.5 V,
HSMA_DVI_RX_D[8],Input,PIN_AJ35,2C,B2C_N0,2.5 V,
HSMA_DVI_RX_D[7],Input,PIN_AE27,2A,B2A_N0,2.5 V,
HSMA_DVI_RX_D[6],Input,PIN_AD27,2A,B2A_N0,2.5 V,
HSMA_DVI_RX_D[5],Input,PIN_AB31,2C,B2C_N0,2.5 V,
HSMA_DVI_RX_D[4],Input,PIN_AB30,2C,B2C_N0,2.5 V,
HSMA_DVI_RX_D[3],Input,PIN_AB28,2C,B2C_N0,2.5 V,
HSMA_DVI_RX_D[2],Input,PIN_AB27,2C,B2C_N0,2.5 V,
HSMA_DVI_RX_D[1],Input,PIN_AD26,2A,B2A_N0,2.5 V,
HSMA_DVI_RX_D[0],Input,PIN_AC26,2A,B2A_N0,2.5 V,
HSMA_DVI_RX_DDCSCL,Bidir,PIN_AG32,2C,B2C_N0,2.5 V,
HSMA_DVI_RX_DDCSDA,Bidir,PIN_AG31,2C,B2C_N0,2.5 V,
HSMA_DVI_RX_DE,Input,PIN_AE29,2C,B2C_N0,2.5 V,
HSMA_DVI_RX_HS,Input,PIN_AD29,2C,B2C_N0,2.5 V,
HSMA_DVI_RX_SCDT,Input,PIN_AN33,2A,B2A_N0,2.5 V,
HSMA_DVI_RX_VS,Input,PIN_AE28,2C,B2C_N0,2.5 V,
HSMA_DVI_TX_CLK,Output,PIN_AG34,2C,B2C_N0,2.5 V,
HSMA_DVI_TX_CTL[3],Output,PIN_AU32,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_CTL[2],Output,PIN_AT31,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_CTL[1],Output,PIN_AU31,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_D[23],Output,PIN_AU33,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_D[22],Output,PIN_AT33,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_D[21],Output,PIN_AT30,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_D[20],Output,PIN_AR31,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_D[19],Output,PIN_AR32,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_D[18],Output,PIN_AP32,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_D[17],Output,PIN_AP34,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_D[16],Output,PIN_AG28,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_D[15],Output,PIN_AK29,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_D[14],Output,PIN_AJ29,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_D[13],Output,PIN_AC29,2C,B2C_N0,2.5 V,
HSMA_DVI_TX_D[12],Output,PIN_AC28,2C,B2C_N0,2.5 V,
HSMA_DVI_TX_D[11],Output,PIN_AD30,2C,B2C_N0,2.5 V,
HSMA_DVI_TX_D[10],Output,PIN_AD31,2C,B2C_N0,2.5 V,
HSMA_DVI_TX_D[9],Output,PIN_AK32,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_D[8],Output,PIN_AL32,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_D[7],Output,PIN_AG27,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_D[6],Output,PIN_AH27,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_D[5],Output,PIN_AK31,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_D[4],Output,PIN_AL31,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_D[3],Output,PIN_AJ31,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_D[2],Output,PIN_AH30,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_D[1],Output,PIN_AL29,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_D[0],Output,PIN_AM29,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_DDCSCL,Bidir,PIN_AG35,2C,B2C_N0,2.5 V,
HSMA_DVI_TX_DDCSDA,Bidir,PIN_AL30,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_DE,Output,PIN_AK30,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_DKEN,Output,PIN_AU34,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_HS,Output,PIN_AV34,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_HTPLG,Output,PIN_AP35,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_ISEL,Output,PIN_AP33,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_MSEN,Output,PIN_AN32,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_PD_N,Output,PIN_AR35,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_SCL,Output,PIN_AR34,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_SDA,Bidir,PIN_AT34,2A,B2A_N0,2.5 V,
HSMA_DVI_TX_VS,Output,PIN_AT32,2A,B2A_N0,2.5 V,
HSMC_SCL,Output,PIN_L19,7C,B7C_N0,1.8 V,
HSMC_SDA,Bidir,PIN_M19,7C,B7C_N0,1.8 V,
LED[7],Output,PIN_M30,1A,B1A_N0,2.5 V,
LED[6],Output,PIN_N30,1A,B1A_N0,2.5 V,
LED[5],Output,PIN_M29,1A,B1A_N0,2.5 V,
LED[4],Output,PIN_N29,1A,B1A_N0,2.5 V,
LED[3],Output,PIN_P29,1A,B1A_N0,2.5 V,
LED[2],Output,PIN_R29,1A,B1A_N0,2.5 V,
LED[1],Output,PIN_W28,1C,B1C_N0,2.5 V,
LED[0],Output,PIN_V28,1C,B1C_N0,2.5 V,
OSC_50_BANK2,Input,PIN_AC35,2C,B2C_N0,2.5 V,
OSC_50_BANK3,Input,PIN_AV22,3C,B3C_N0,1.8 V,
OSC_50_BANK4,Input,PIN_AV19,4C,B4C_N0,1.8 V,
OSC_50_BANK5,Input,PIN_AC6,5C,B5C_N0,3.0-V PCI-X,
OSC_50_BANK6,Input,PIN_AB6,6C,B6C_N0,2.5 V,
OSC_50_BANK7,Input,PIN_A19,7C,B7C_N0,1.8 V,
PLL_CLKIN_p,Input,PIN_B22,8C,B8C_N0,LVDS,
termination_blk0~_rup_pad,Unknown,PIN_AF25,3A,B3A_N0,1.8 V,
termination_blk0~_rdn_pad,Unknown,PIN_AG25,3A,B3A_N0,,
termination_blk0~_run_pad,Unknown,,,,1.8 V,
,Unknown,PIN_L28,,,,
,Unknown,PIN_J29,1A,,,
,Unknown,PIN_N27,1A,,,
,Unknown,PIN_A32,1A,,,
,Unknown,PIN_G30,1A,,,
,Unknown,PIN_F30,1A,,,
,Unknown,PIN_K29,1A,B1A_N0,,
,Unknown,PIN_L29,1A,B1A_N0,,
,Unknown,PIN_C34,1A,B1A_N0,,
,Unknown,PIN_D34,1A,B1A_N0,,
,Unknown,PIN_J30,1A,B1A_N0,,
,Unknown,PIN_K30,1A,B1A_N0,,
,Unknown,PIN_C31,1A,B1A_N0,,
,Unknown,PIN_D31,1A,B1A_N0,,
,Unknown,PIN_M28,1A,B1A_N0,,
,Unknown,PIN_N28,1A,B1A_N0,,
,Unknown,PIN_C35,1A,B1A_N0,,
