Signal Legend:

Key        Signal Name

0        = AD_A[17..31]
1        = AD_B
2        = DA_A[1..15]
3        = DA_B[19..33]
4        = LEDR[0]
5        = LEDR[1]
6        = LEDR[2]
7        = LEDR[7]
8        = LEDR[8]
9        = SW[0]
10       = SW[1]
11       = SW[2]
12       = SW[6]
13       = SW[7]
14       = SW[8]
15       = SW[9]
16       = LEDR[3]
17       = LEDR[4]
18       = LEDR[5]
19       = LEDR[6]
20       = LEDR[9]
21       = SW[3]
22       = SW[4]
23       = SW[5]
24       = GPIO_0[0]
25       = GPIO_0[16]
26       = GPIO_0[18]
27       = GPIO_1[0]
28       = GPIO_0[2]
29       = GPIO_0[32]
30       = GPIO_0[33]
31       = GPIO_0[34]
32       = GPIO_0[35]
33       = GPIO_1[16]
34       = GPIO_1[17]
35       = GPIO_1[18]
36       = GPIO_1[20]
37       = GPIO_1[2]
38       = GPIO_1[34]
39       = GPIO_1[35]
40       = KEY_N[0]
41       = KEY_N[1]
42       = KEY_N[2]
43       = KEY_N[3]

Data Table:

Signals-> 0     1     2     3     4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 

sample

-16       16383 16383 -1568 -1568 1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  1  0  1  1  1  1  1  1  0  1  1  0  1  1  1  1  1  1  
-15       16383 16383 -848  -848  1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  1  1  1  0  1  0  1  0  0  1  1  1  1  1  
-14       16383 16383 1568  1568  1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  1  0  1  1  1  1  1  1  0  1  1  0  1  1  1  1  1  1  
-13       16383 16383 4948  4948  1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  1  0  1  1  1  1  1  0  1  0  1  0  0  1  1  1  1  1  
-12       16383 16383 7885  7885  1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  1  1  1  1  0  1  1  0  1  1  1  1  1  1  
-11       16383 16383 8191  8191  1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  1  1  1  0  1  0  1  0  0  1  1  1  1  1  
-10       16383 16383 7885  7885  1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  1  0  1  1  1  1  1  1  0  1  1  0  1  1  1  1  1  1  
-9        16383 16383 4948  4948  1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  1  1  1  0  1  0  1  0  0  1  1  1  1  1  
-8        16383 16383 1568  1568  1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  1  1  1  1  0  1  1  0  1  1  1  1  1  1  
-7        16383 16383 -848  -848  1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  1  0  1  1  1  1  1  0  1  0  1  0  0  1  1  1  1  1  
-6        16383 16383 -1568 -1568 1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  0  0  1  1  1  1  1  1  0  1  1  0  1  1  1  1  1  1  
-5        16383 16383 -848  -848  1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  1  1  1  0  1  0  1  0  0  1  1  1  1  1  
-4        16383 16383 154   154   1 1 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  1  0  1  1  1  1  1  1  0  1  1  0  1  1  1  1  1  1  
-3        16383 16383 212   212   1 1 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  1  0  1  1  1  1  1  0  1  0  1  0  0  1  1  1  1  1  
-2        16383 16383 212   212   1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  1  1  1  1  0  1  1  0  1  1  1  1  1  1  
-1        16383 16383 212   212   1 0 1 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  1  0  1  1  1  1  1  0  1  0  1  0  0  1  1  1  1  1  
0         16383 16383 212   212   1 0 1 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  1  0  1  1  1  1  1  1  0  1  1  0  1  1  1  1  1  1  
1         16383 16383 212   212   1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  1  1  1  0  1  0  1  0  0  1  1  1  1  1  
2         16383 16383 424   424   1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  1  1  1  1  0  1  1  0  1  1  1  1  1  1  
3         16383 16383 312   312   1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  1  0  1  1  1  1  1  0  1  0  1  0  0  1  1  1  1  1  
4         16383 16383 -848  -848  1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  0  0  1  1  1  1  1  1  0  1  1  0  1  1  1  1  1  1  
5         16383 16383 -1568 -1568 1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  1  1  1  0  1  0  1  0  0  1  1  1  1  1  
6         16383 16383 -848  -848  1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  1  0  1  1  1  1  1  1  0  1  1  0  1  1  1  1  1  1  
7         16383 16383 1568  1568  1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  1  0  1  1  1  1  1  0  1  0  1  0  0  1  1  1  1  1  
8         16383 16383 4948  4948  1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  1  1  1  1  0  1  1  0  1  1  1  1  1  1  
9         16383 16383 7885  7885  1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  1  0  1  1  1  1  1  0  1  0  1  0  0  1  1  1  1  1  
10        16383 16383 8191  8191  1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  1  0  1  1  1  1  1  1  0  1  1  0  1  1  1  1  1  1  
11        16383 16383 7885  7885  1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  1  1  1  0  1  0  1  0  0  1  1  1  1  1  
12        16383 16383 4948  4948  1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  1  1  1  1  0  1  1  0  1  1  1  1  1  1  
13        16383 16383 1568  1568  1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  1  0  1  1  1  1  1  0  1  0  1  0  0  1  1  1  1  1  
14        16383 16383 -848  -848  1 1 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  1  1  1  1  0  1  1  0  1  1  1  1  1  1  
15        16383 16383 -1568 -1568 1 1 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  1  1  1  0  1  0  1  0  0  1  1  1  1  1  
16        16383 16383 -848  -848  1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  1  0  1  1  1  1  1  1  0  1  1  0  1  1  1  1  1  1  
17        16383 16383 154   154   1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  0  0  1  1  1  1  1  0  1  0  1  0  0  1  1  1  1  1  
18        16383 16383 212   212   1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  1  1  1  1  0  1  1  0  1  1  1  1  1  1  
19        16383 16383 212   212   1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  1  0  1  1  1  1  1  0  1  0  1  0  0  1  1  1  1  1  
20        16383 16383 212   212   1 0 1 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  1  0  1  1  1  1  1  1  0  1  1  0  1  1  1  1  1  1  
21        16383 16383 212   212   1 0 1 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  1  1  1  0  1  0  1  0  0  1  1  1  1  1  
22        16383 16383 212   212   1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  1  0  1  1  1  1  1  1  0  1  1  0  1  1  1  1  1  1  
23        16383 16383 424   424   1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  1  0  1  1  1  1  1  0  1  0  1  0  0  1  1  1  1  1  
24        16383 16383 312   312   1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  1  1  1  1  0  1  1  0  1  1  1  1  1  1  
25        16383 16383 -848  -848  1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  1  1  1  0  1  0  1  0  0  1  1  1  1  1  
26        16383 16383 -1568 -1568 1 0 0 1 1 0 0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  1  0  1  1  1  1  1  1  0  1  1  0  1  1  1  1  1  1  
